tier,epochs,has_redshift,anchor_phase_days,median,percentile_16,percentile_84,minimum,maximum
wide,1,False,2.93,0.9997240900993347,0.9997146105766297,0.9997312331199646,0.9996985197067261,0.9997410178184509
wide,1,False,3.03,0.9997258186340332,0.9997160506248474,0.9997333312034606,0.9997004270553589,0.9997431635856628
wide,1,False,3.13,0.9997280240058899,0.9997177481651306,0.9997357583045959,0.9997028708457947,0.9997456669807434
wide,1,False,3.23,0.9997305274009705,0.9997197937965393,0.9997381138801574,0.9997056126594543,0.9997485280036926
wide,1,False,3.33,0.9997333288192749,0.999722306728363,0.9997408556938171,0.9997089505195618,0.9997517466545105
wide,1,False,3.43,0.9997364282608032,0.9997256255149841,0.9997438740730286,0.9997124075889587,0.9997552037239075
wide,1,False,3.53,0.9997395277023315,0.999730088710785,0.999747121334076,0.9997157454490662,0.9997590184211731
wide,1,False,3.63,0.9997428059577942,0.9997335076332092,0.9997505164146423,0.9997192025184631,0.9997656941413879
wide,1,False,3.73,0.9997478127479553,0.999737823009491,0.9997569727897644,0.999723494052887,0.9997715353965759
wide,1,False,3.83,0.9997537136077881,0.9997443747520447,0.9997623372077942,0.9997299313545227,0.9997761845588684
wide,1,False,3.93,0.9997588992118835,0.9997483229637146,0.9997672152519226,0.999735414981842,0.9997807145118713
wide,1,False,4.03,0.9997639060020447,0.9997524333000183,0.9997722125053405,0.9997400641441345,0.9997856020927429
wide,1,False,4.13,0.999768853187561,0.9997590851783752,0.9997767424583435,0.9997449517250061,0.9997912049293518
wide,1,False,4.23,0.9997734427452087,0.9997646498680115,0.9997817492485046,0.9997501969337463,0.9997974038124084
wide,1,False,4.33,0.9997784495353699,0.9997695279121399,0.9997872424125671,0.9997555613517761,0.9998043179512024
wide,1,False,4.43,0.9997808337211609,0.9997715353965759,0.9997899842262268,0.9997575879096985,0.9998075366020203
wide,1,False,4.53,0.9997760057449341,0.9997666668891907,0.9997849774360656,0.9997519850730896,0.9998018145561218
wide,1,False,4.63,0.9997711181640625,0.9997616696357727,0.9997800898551941,0.9997460246086121,0.9997962117195129
wide,1,False,4.73,0.9997663497924805,0.9997563147544861,0.9997753024101257,0.9997395873069763,0.9997908473014832
wide,1,False,4.83,0.999761164188385,0.9997503733634949,0.9997702956199646,0.9997327923774719,0.999785840511322
wide,1,False,4.93,0.9997557401657104,0.9997440552711487,0.999765179157257,0.9997257590293884,0.9997807145118713
wide,1,False,5.03,0.9997497200965881,0.9997373795509339,0.9997599244117736,0.9997184872627258,0.9997757077217102
wide,1,False,5.13,0.9997433423995972,0.9997304558753968,0.9997542023658752,0.9997108578681946,0.99977046251297
wide,1,False,5.23,0.9997366070747375,0.999723174571991,0.9997480034828186,0.9997028708457947,0.9997652173042297
wide,1,False,5.33,0.9997296929359436,0.9997155547142029,0.9997413277626037,0.9996947050094604,0.9997597336769104
wide,1,True,1.43,0.9999313354492188,0.9999299144744873,0.9999330043792725,0.9999253749847412,0.9999343156814575
wide,1,True,1.53,0.9999309778213501,0.9999296760559082,0.9999327564239502,0.9999250173568726,0.9999340772628784
wide,1,True,1.63,0.999930739402771,0.9999293184280396,0.9999325275421143,0.9999247789382935,0.9999338388442993
wide,1,True,1.73,0.9999306201934814,0.9999290895462036,0.9999322891235352,0.9999246597290039,0.9999336004257202
wide,1,True,1.83,0.9999305009841919,0.9999288702011109,0.9999321699142456,0.9999247789382935,0.9999336004257202
wide,1,True,1.93,0.9999305605888367,0.9999288702011109,0.9999322700500488,0.999924898147583,0.9999337196350098
wide,1,True,2.03,0.999930739402771,0.9999290895462036,0.9999324893951416,0.9999252557754517,0.9999338388442993
wide,1,True,2.13,0.9999309778213501,0.9999294376373291,0.9999327373504638,0.9999257326126099,0.999934196472168
wide,1,True,2.23,0.9999314546585083,0.9999299049377441,0.9999331045150757,0.9999263286590576,0.9999346733093262
wide,1,True,2.33,0.999932050704956,0.9999303817749023,0.9999336004257202,0.9999270439147949,0.9999352693557739
wide,1,True,2.43,0.9999327659606934,0.9999308776855469,0.9999340772628784,0.9999278783798218,0.9999361038208008
wide,1,True,2.53,0.9999330639839172,0.9999312353134155,0.9999345445632934,0.9999284744262695,0.999936580657959
wide,1,True,2.63,0.9999335408210754,0.9999315929412842,0.9999351215362549,0.9999290704727173,0.9999370574951172
wide,1,True,2.73,0.9999341368675232,0.9999320793151856,0.9999355983734131,0.999929666519165,0.9999376535415649
wide,1,True,2.83,0.999934732913971,0.9999327850341797,0.999936203956604,0.9999302625656128,0.9999383687973022
wide,1,True,2.93,0.9999353289604187,0.9999336004257202,0.9999368095397949,0.9999308586120605,0.9999392032623291
wide,1,True,3.03,0.9999361038208008,0.9999343156814575,0.9999376440048218,0.9999315738677979,0.9999401569366455
wide,1,True,3.13,0.9999369382858276,0.9999351501464844,0.9999384784698486,0.9999324083328247,0.9999412298202515
wide,1,True,3.23,0.9999378323554993,0.9999361038208008,0.999939432144165,0.9999332427978516,0.9999423027038574
wide,1,True,3.33,0.9999388456344604,0.9999370670318604,0.9999405145645142,0.999934196472168,0.9999434947967529
wide,1,True,3.43,0.9999399185180664,0.9999380207061768,0.9999417066574097,0.9999352693557739,0.999944806098938
wide,1,True,3.53,0.9999409914016724,0.9999390840530396,0.9999428987503052,0.9999362230300903,0.999946117401123
wide,1,True,3.63,0.9999421834945679,0.9999399471282959,0.9999442005157471,0.9999372959136963,0.9999474287033081
wide,1,True,3.73,0.9999434947967529,0.999941029548645,0.9999455118179321,0.9999384880065918,0.9999487400054932
wide,1,True,3.83,0.9999448657035828,0.9999423503875733,0.9999469518661499,0.9999397993087769,0.9999500513076782
wide,1,True,3.93,0.9999462962150574,0.9999438810348511,0.9999483823776245,0.9999412298202515,0.9999514818191528
wide,1,True,4.03,0.999947726726532,0.9999453210830689,0.999949803352356,0.9999426603317261,0.9999527931213379
wide,1,True,4.13,0.9999490976333618,0.9999468612670899,0.9999512338638306,0.9999442100524902,0.9999542236328125
wide,1,True,4.23,0.9999505281448364,0.9999484014511109,0.9999527740478515,0.9999457597732544,0.9999556541442871
wide,1,True,4.33,0.9999520778656006,0.9999499320983887,0.9999542140960693,0.9999474287033081,0.9999570846557617
wide,1,True,4.43,0.9999529719352722,0.9999506664276123,0.9999550485610962,0.9999481439590454,0.999957799911499
wide,1,True,4.53,0.9999521374702454,0.9999499416351318,0.9999543237686157,0.9999473094940186,0.9999572038650513
wide,1,True,4.63,0.9999512434005737,0.999949107170105,0.9999536085128784,0.9999463558197021,0.999956488609314
wide,1,True,4.73,0.9999504089355469,0.999948263168335,0.9999527740478515,0.9999452829360962,0.9999557733535767
wide,1,True,4.83,0.9999496936798096,0.9999473094940186,0.9999519395828247,0.9999443292617798,0.9999550580978394
wide,1,True,4.93,0.9999487400054932,0.9999462461471558,0.9999511051177978,0.9999432563781738,0.999954342842102
wide,1,True,5.03,0.9999477863311768,0.999945182800293,0.999950270652771,0.9999421834945679,0.9999535083770752
wide,1,True,5.13,0.9999468326568604,0.9999441194534302,0.9999494361877441,0.9999409914016724,0.9999526739120483
wide,1,True,5.23,0.9999458193778992,0.9999430465698242,0.9999484825134277,0.9999397993087769,0.9999518394470215
wide,1,True,5.33,0.999944806098938,0.9999418640136719,0.9999475288391113,0.9999386072158813,0.9999510049819946
wide,2,False,1.43,0.9996780753135681,0.9996498346328735,0.9996991777420043,0.9996119141578674,0.9997246861457825
wide,2,False,1.53,0.9996798634529114,0.9996460628509521,0.9997015118598938,0.9996144771575928,0.9997283816337585
wide,2,False,1.63,0.9996790289878845,0.999645471572876,0.9997043490409852,0.9996144771575928,0.9997313618659973
wide,2,False,1.73,0.9996811151504517,0.999648232460022,0.9997068333625794,0.99960857629776,0.999731719493866
wide,2,False,1.83,0.9996814727783203,0.9996500015258789,0.9997009563446045,0.9996089339256287,0.9997283816337585
wide,2,False,1.93,0.99968022108078,0.9996500205993653,0.9996993446350098,0.9996095299720764,0.9997252821922302
wide,2,False,2.03,0.9996752738952637,0.9996485900878906,0.9996978187561035,0.9996092915534973,0.999722421169281
wide,2,False,2.13,0.9996711611747742,0.9996393346786498,0.9996949100494384,0.9996077418327332,0.9997202754020691
wide,2,False,2.23,0.9996647834777832,0.9996338939666748,0.9996896886825561,0.9996054768562317,0.9997205138206482
